fold,test_year,k_sl,k_tp,min_tp,max_time,train_expectancy,train_win_rate,train_ignition_score,test_expectancy,test_risk_adj_return,test_win_rate,test_loss_rate,test_time_rate,test_avg_days,test_risk_reward,test_ignition_score,test_avg_win,test_avg_time,test_trades
2,2022,1.0,4.0,0.2,30,0.01061214849666336,0.05390093881515053,2.167957902766326,-0.019938226031203658,-0.5913901316593358,0.023558586484810913,0.7600743955362679,0.21636701797892127,8.495970241785493,4.581537424273907,2.3824546274425296,0.23657585826593147,0.06348554714903487,1613
2,2022,1.0,4.0,0.2,45,0.01061214849666336,0.05390093881515053,2.167957902766326,-0.019937296313760663,-0.5910606415602202,0.023558586484810913,0.7600743955362679,0.21636701797892127,8.500309981401116,4.581537424273907,2.382387887202996,0.23657585826593147,0.06348984409526855,1613
2,2022,1.0,4.0,0.2,60,0.01061214849666336,0.05390093881515053,2.167957902766326,-0.019937296313760663,-0.5910606415602202,0.023558586484810913,0.7600743955362679,0.21636701797892127,8.500309981401116,4.581537424273907,2.382387887202996,0.23657585826593147,0.06348984409526855,1613
2,2022,1.5,4.0,0.2,30,0.014637390365484042,0.060861120103593395,2.095460761121567,-0.024611464129881962,-0.6021771801395233,0.02541847489150651,0.6794792312461252,0.29510229386236825,10.299442033477991,3.5460229937852144,2.308488869660074,0.23979405959396285,0.05164994988823403,1613
2,2022,1.5,4.0,0.2,45,0.014637390365484042,0.060861120103593395,2.095460761121567,-0.024610534412438965,-0.6019008174386606,0.02541847489150651,0.6794792312461252,0.29510229386236825,10.303781773093615,3.5460229937852144,2.3084428540912048,0.23979405959396285,0.05165310038032553,1613
2,2022,1.5,4.0,0.2,60,0.014637390365484042,0.060861120103593395,2.095460761121567,-0.024610534412438965,-0.6019008174386606,0.02541847489150651,0.6794792312461252,0.29510229386236825,10.303781773093615,3.5460229937852144,2.3084428540912048,0.23979405959396285,0.05165310038032553,1613
2,2022,1.0,3.0,0.2,30,0.010911313320687312,0.06021366137908708,2.0762430479492147,-0.019696093793128158,-0.5862616740374605,0.02541847489150651,0.7600743955362679,0.21450712957222567,8.466212027278363,4.4741368351326996,2.293043852968991,0.23103003724530005,0.06377071197132095,1613
2,2022,1.0,3.0,0.2,45,0.010911313320687312,0.06021366137908708,2.0762430479492147,-0.019695164075685164,-0.5859336538701752,0.02541847489150651,0.7600743955362679,0.21450712957222567,8.470551766893987,4.4741368351326996,2.2929772772358303,0.23103003724530005,0.06377504617431387,1613
2,2022,1.0,3.0,0.2,60,0.010911313320687312,0.06021366137908708,2.0762430479492147,-0.019695164075685164,-0.5859336538701752,0.02541847489150651,0.7600743955362679,0.21450712957222567,8.470551766893987,4.4741368351326996,2.2929772772358303,0.23103003724530005,0.06377504617431387,1613
4,2024,1.0,4.0,0.2,30,0.011782284499851012,0.065921963499056,2.07600374580887,0.004128160083797043,0.10399568188123127,0.054195233431276524,0.6284688214169115,0.31733594515181196,10.00326477309827,5.7836486095888695,2.289369733403158,0.2598561072191518,0.05761071729335856,3063
4,2024,1.0,4.0,0.2,45,0.011782284499851012,0.065921963499056,2.07600374580887,0.004128160083797043,0.10399568188123127,0.054195233431276524,0.6284688214169115,0.31733594515181196,10.00326477309827,5.7836486095888695,2.289369733403158,0.2598561072191518,0.05761071729335856,3063
4,2024,1.0,4.0,0.2,60,0.011782284499851012,0.065921963499056,2.07600374580887,0.004128160083797043,0.10399568188123127,0.054195233431276524,0.6284688214169115,0.31733594515181196,10.00326477309827,5.7836486095888695,2.289369733403158,0.2598561072191518,0.05761071729335856,3063
2,2022,1.0,2.0,0.2,30,0.01083154993804808,0.06215603755260602,2.031098187717048,-0.01970933143303346,-0.5866986600932778,0.02541847489150651,0.7600743955362679,0.21450712957222567,8.465592064476132,4.4640512316944765,2.2879429264893805,0.23050924911926932,0.06377071197132095,1613
2,2022,1.0,2.0,0.2,45,0.01083154993804808,0.06215603755260602,2.031098187717048,-0.019708401715590466,-0.586370392017739,0.02541847489150651,0.7600743955362679,0.21450712957222567,8.469931804091754,4.4640512316944765,2.28787629563102,0.23050924911926932,0.06377504617431387,1613
2,2022,1.0,2.0,0.2,60,0.01083154993804808,0.06215603755260602,2.031098187717048,-0.019708401715590466,-0.586370392017739,0.02541847489150651,0.7600743955362679,0.21450712957222567,8.469931804091754,4.4640512316944765,2.28787629563102,0.23050924911926932,0.06377504617431387,1613
2,2022,2.0,4.0,0.2,30,0.01649000143631052,0.0637746843638718,2.092052409659766,-0.027941125790995947,-0.5861579813697805,0.026658400495970243,0.597024178549287,0.37631742095474274,12.012399256044638,2.9023203847021652,2.2635050218040917,0.2395742728354525,0.039737804786613304,1613
2,2022,2.0,4.0,0.2,45,0.01649000143631052,0.0637746843638718,2.092052409659766,-0.027940196073552956,-0.5859267986995569,0.026658400495970243,0.597024178549287,0.37631742095474274,12.01673899566026,2.9023203847021652,2.2634699889990566,0.2395742728354525,0.03974027535372294,1613
2,2022,2.0,4.0,0.2,60,0.01649000143631052,0.0637746843638718,2.092052409659766,-0.027940196073552956,-0.5859267986995569,0.026658400495970243,0.597024178549287,0.37631742095474274,12.01673899566026,2.9023203847021652,2.2634699889990566,0.2395742728354525,0.03974027535372294,1613
2,2022,1.5,3.0,0.2,30,0.014864787461165603,0.0674975720297831,2.0123132866388063,-0.024392430971596872,-0.5985835409086459,0.02727836329820211,0.6794792312461252,0.29324240545567265,10.26906385616863,3.4538372591355126,2.2251769665210643,0.23356014865005575,0.051783481044108404,1613
2,2022,1.5,3.0,0.2,45,0.014864787461165603,0.0674975720297831,2.0123132866388063,-0.024391501254153874,-0.5983078790527699,0.02727836329820211,0.6794792312461252,0.29324240545567265,10.273403595784252,3.4538372591355126,2.225131162703805,0.23356014865005575,0.05178665151817934,1613
2,2022,1.5,3.0,0.2,60,0.014864787461165603,0.0674975720297831,2.0123132866388063,-0.024391501254153874,-0.5983078790527699,0.02727836329820211,0.6794792312461252,0.29324240545567265,10.273403595784252,3.4538372591355126,2.225131162703805,0.23356014865005575,0.05178665151817934,1613
2,2022,1.5,2.0,0.2,30,0.014789875476712257,0.06960181288442861,1.9712569600456262,-0.02440566861150218,-0.5989445483625527,0.02727836329820211,0.6794792312461252,0.29324240545567265,10.268443893366397,3.4466610451347255,2.2208349283619127,0.2330748688053453,0.051783481044108404,1613
2,2022,1.5,2.0,0.2,45,0.014789875476712257,0.06960181288442861,1.9712569600456262,-0.024404738894059183,-0.5986687173628003,0.02727836329820211,0.6794792312461252,0.29324240545567265,10.272783632982021,3.4466610451347255,2.220789096075992,0.2330748688053453,0.05178665151817934,1613
2,2022,1.5,2.0,0.2,60,0.014789875476712257,0.06960181288442861,1.9712569600456262,-0.024404738894059183,-0.5986687173628003,0.02727836329820211,0.6794792312461252,0.29324240545567265,10.272783632982021,3.4466610451347255,2.220789096075992,0.2330748688053453,0.05178665151817934,1613
4,2024,1.0,3.0,0.2,30,0.01122403582991794,0.07016991818753933,1.9719301489847387,0.0034565744588434134,0.08740530276803338,0.056480574600065295,0.6281423441070846,0.31537708129285014,9.965719882468168,5.4493343697813215,2.206815755560379,0.24472057253348123,0.05657813548054768,3063
4,2024,1.0,3.0,0.2,45,0.01122403582991794,0.07016991818753933,1.9719301489847387,0.0034565744588434134,0.08740530276803338,0.056480574600065295,0.6281423441070846,0.31537708129285014,9.965719882468168,5.4493343697813215,2.206815755560379,0.24472057253348123,0.05657813548054768,3063
4,2024,1.0,3.0,0.2,60,0.01122403582991794,0.07016991818753933,1.9719301489847387,0.0034565744588434134,0.08740530276803338,0.056480574600065295,0.6281423441070846,0.31537708129285014,9.965719882468168,5.4493343697813215,2.206815755560379,0.24472057253348123,0.05657813548054768,3063
2,2022,2.0,3.0,0.2,30,0.01664379471836912,0.07057300097118809,2.0120899489651434,-0.02774811025630572,-0.5836450641418952,0.02851828890266584,0.597024178549287,0.3744575325480471,11.980781153130811,2.819204666092357,2.1825745538670733,0.2327134217894766,0.03978320843135456,1613
2,2022,2.0,3.0,0.2,45,0.01664379471836912,0.07057300097118809,2.0120899489651434,-0.02774718053886272,-0.5834141814977635,0.02851828890266584,0.597024178549287,0.3744575325480471,11.985120892746435,2.819204666092357,2.1825397358938305,0.2327134217894766,0.03978569126949289,1613
2,2022,2.0,3.0,0.2,60,0.01664379471836912,0.07057300097118809,2.0120899489651434,-0.02774718053886272,-0.5834141814977635,0.02851828890266584,0.597024178549287,0.3744575325480471,11.985120892746435,2.819204666092357,2.1825397358938305,0.2327134217894766,0.03978569126949289,1613
2,2022,2.0,2.0,0.2,30,0.016630963509488374,0.07283910650696018,1.9727621697274593,-0.027761347896211028,-0.5839537180428624,0.02851828890266584,0.597024178549287,0.3744575325480471,11.98016119032858,2.8135813529006732,2.1786749215983687,0.2322492410684492,0.03978320843135456,1613
2,2022,2.0,2.0,0.2,45,0.016630963509488374,0.07283910650696018,1.9727621697274593,-0.02776041817876803,-0.5837227116875958,0.02851828890266584,0.597024178549287,0.3744575325480471,11.984500929944204,2.8135813529006732,2.1786400864344553,0.2322492410684492,0.03978569126949289,1613
2,2022,2.0,2.0,0.2,60,0.016630963509488374,0.07283910650696018,1.9727621697274593,-0.02776041817876803,-0.5837227116875958,0.02851828890266584,0.597024178549287,0.3744575325480471,11.984500929944204,2.8135813529006732,2.1786400864344553,0.2322492410684492,0.03978569126949289,1613
4,2024,1.5,4.0,0.2,30,0.013268273151690949,0.07001258653241033,2.046145169606665,0.007578868356738426,0.15260066758121374,0.059745347698334964,0.5011426705843944,0.43911198171727067,12.515507672216781,4.385707286103971,2.171331189446429,0.2625328920162657,0.04985666423399987,3063
4,2024,1.5,4.0,0.2,45,0.013268273151690949,0.07001258653241033,2.046145169606665,0.007578868356738426,0.15260066758121374,0.059745347698334964,0.5011426705843944,0.43911198171727067,12.515507672216781,4.385707286103971,2.171331189446429,0.2625328920162657,0.04985666423399987,3063
4,2024,1.5,4.0,0.2,60,0.013268273151690949,0.07001258653241033,2.046145169606665,0.007578868356738426,0.15260066758121374,0.059745347698334964,0.5011426705843944,0.43911198171727067,12.515507672216781,4.385707286103971,2.171331189446429,0.2625328920162657,0.04985666423399987,3063
4,2024,1.0,2.0,0.2,30,0.011030285090853909,0.07284455632473254,1.927987940682768,0.003340494641873814,0.0846919902181308,0.05778648383937316,0.6278158667972575,0.3143976493633692,9.939601697682011,5.3326592736438405,2.1684811578287375,0.2392526849105585,0.05624159939143774,3063
4,2024,1.0,2.0,0.2,45,0.011030285090853909,0.07284455632473254,1.927987940682768,0.003340494641873814,0.0846919902181308,0.05778648383937316,0.6278158667972575,0.3143976493633692,9.939601697682011,5.3326592736438405,2.1684811578287375,0.2392526849105585,0.05624159939143774,3063
4,2024,1.0,2.0,0.2,60,0.011030285090853909,0.07284455632473254,1.927987940682768,0.003340494641873814,0.0846919902181308,0.05778648383937316,0.6278158667972575,0.3143976493633692,9.939601697682011,5.3326592736438405,2.1684811578287375,0.2392526849105585,0.05624159939143774,3063
4,2024,2.0,4.0,0.2,30,0.014483154054934718,0.07252989301447452,2.044744820343364,0.010415489742916874,0.18047561084729727,0.06301012079660463,0.3852432255958211,0.5517466536075742,14.543258243552073,3.4760879311980566,2.142086935494177,0.26117196580610325,0.041511497912945484,3063
4,2024,2.0,4.0,0.2,45,0.014483154054934718,0.07252989301447452,2.044744820343364,0.010415489742916874,0.18047561084729727,0.06301012079660463,0.3852432255958211,0.5517466536075742,14.543258243552073,3.4760879311980566,2.142086935494177,0.26117196580610325,0.041511497912945484,3063
4,2024,2.0,4.0,0.2,60,0.014483154054934718,0.07252989301447452,2.044744820343364,0.010415489742916874,0.18047561084729727,0.06301012079660463,0.3852432255958211,0.5517466536075742,14.543258243552073,3.4760879311980566,2.142086935494177,0.26117196580610325,0.041511497912945484,3063
5,2025,1.0,4.0,0.2,30,-0.0006306915341746447,0.0480672268907563,2.2335268291266344,0.008017687057244715,0.18220667192265727,0.05257784583971414,0.5513016845329249,0.3961204696273609,11.088820826952526,4.866366200875407,2.1177144813778503,0.27236363654826695,0.061983592210298234,1959
5,2025,1.0,4.0,0.2,45,-0.0006304394948073271,0.0480672268907563,2.233517270211159,0.008018980099942279,0.1821605865994066,0.05257784583971414,0.5513016845329249,0.3961204696273609,11.093415007656969,4.866366200875407,2.1176817001069312,0.27236363654826695,0.06198685647659273,1959
5,2025,1.0,4.0,0.2,60,-0.0006304394948073271,0.0480672268907563,2.233517270211159,0.008018980099942279,0.1821605865994066,0.05257784583971414,0.5513016845329249,0.3961204696273609,11.093415007656969,4.866366200875407,2.1176817001069312,0.27236363654826695,0.06198685647659273,1959
4,2024,1.5,3.0,0.2,30,0.012638533511541022,0.07457520453115167,1.9440442416436046,0.0071404168705515685,0.14428053435533672,0.06301012079660463,0.5004897159647405,0.4365001632386549,12.47143323539014,4.166139442430732,2.095645680478687,0.24915637030964288,0.04896419591832264,3063
4,2024,1.5,3.0,0.2,45,0.012638533511541022,0.07457520453115167,1.9440442416436046,0.0071404168705515685,0.14428053435533672,0.06301012079660463,0.5004897159647405,0.4365001632386549,12.47143323539014,4.166139442430732,2.095645680478687,0.24915637030964288,0.04896419591832264,3063
4,2024,1.5,3.0,0.2,60,0.012638533511541022,0.07457520453115167,1.9440442416436046,0.0071404168705515685,0.14428053435533672,0.06301012079660463,0.5004897159647405,0.4365001632386549,12.47143323539014,4.166139442430732,2.095645680478687,0.24915637030964288,0.04896419591832264,3063
5,2025,2.0,4.0,0.2,30,-5.8103126818458833e-05,0.054285714285714284,2.119363737248597,0.0124032474819019,0.2159514134829494,0.062276671771311895,0.3343542623787647,0.6033690658499234,14.473711077080143,3.0029151862220296,2.0888372998229183,0.27858639450681993,0.04321156522351937,1959
5,2025,2.0,4.0,0.2,45,-5.78510874511412e-05,0.054285714285714284,2.1193587857980645,0.012404540524599463,0.21590539476423395,0.062276671771311895,0.3343542623787647,0.6033690658499234,14.478305257784584,3.0029151862220296,2.0888192740147717,0.27858639450681993,0.0432137082612897,1959
5,2025,2.0,4.0,0.2,60,-5.78510874511412e-05,0.054285714285714284,2.1193587857980645,0.012404540524599463,0.21590539476423395,0.062276671771311895,0.3343542623787647,0.6033690658499234,14.478305257784584,3.0029151862220296,2.0888192740147717,0.27858639450681993,0.0432137082612897,1959
3,2023,1.0,4.0,0.2,30,0.003963923512672388,0.05466237942122187,2.19626608153471,0.012613888772349638,0.2847258177165718,0.05799151343705799,0.553983969825554,0.388024516737388,11.164073550212164,5.382957971360565,2.080742254308303,0.24356699523505881,0.06070653753183027,2121
3,2023,1.0,4.0,0.2,45,0.003963923512672388,0.05466237942122187,2.19626608153471,0.012613888772349638,0.2847258177165718,0.05799151343705799,0.553983969825554,0.388024516737388,11.164073550212164,5.382957971360565,2.080742254308303,0.24356699523505881,0.06070653753183027,2121
3,2023,1.0,4.0,0.2,60,0.003963923512672388,0.05466237942122187,2.19626608153471,0.012613888772349638,0.2847258177165718,0.05799151343705799,0.553983969825554,0.388024516737388,11.164073550212164,5.382957971360565,2.080742254308303,0.24356699523505881,0.06070653753183027,2121
4,2024,2.0,3.0,0.2,30,0.01385483513840758,0.07724984266834486,1.9486943172090998,0.009998221431394564,0.17379154090841578,0.06660137120470128,0.38491674828599415,0.5484818805093046,14.497551420176297,3.3165404515627235,2.0788165654752095,0.2490271791500815,0.04068446874503339,3063
4,2024,2.0,3.0,0.2,45,0.01385483513840758,0.07724984266834486,1.9486943172090998,0.009998221431394564,0.17379154090841578,0.06660137120470128,0.38491674828599415,0.5484818805093046,14.497551420176297,3.3165404515627235,2.0788165654752095,0.2490271791500815,0.04068446874503339,3063
4,2024,2.0,3.0,0.2,60,0.01385483513840758,0.07724984266834486,1.9486943172090998,0.009998221431394564,0.17379154090841578,0.06660137120470128,0.38491674828599415,0.5484818805093046,14.497551420176297,3.3165404515627235,2.0788165654752095,0.2490271791500815,0.04068446874503339,3063
5,2025,1.5,4.0,0.2,30,-0.0005316809158512348,0.05126050420168067,2.160573752940306,0.009962836409322495,0.19289095319309033,0.05768249106687085,0.4369576314446146,0.5053598774885145,13.015824400204187,3.700548119973268,2.077877583280589,0.27834889103793853,0.052980429923731795,1959
5,2025,1.5,4.0,0.2,45,-0.0005314288764839172,0.05126050420168067,2.160567290815874,0.009964129452020059,0.19284791854470687,0.05768249106687085,0.4369576314446146,0.5053598774885145,13.020418580908627,3.700548119973268,2.0778545007840545,0.27834889103793853,0.052982988580948485,1959
5,2025,1.5,4.0,0.2,60,-0.0005314288764839172,0.05126050420168067,2.160567290815874,0.009964129452020059,0.19284791854470687,0.05768249106687085,0.4369576314446146,0.5053598774885145,13.020418580908627,3.700548119973268,2.0778545007840545,0.27834889103793853,0.052982988580948485,1959
3,2023,1.5,4.0,0.2,30,0.006060498503919657,0.06109324758842444,2.103121698168616,0.014428914668674409,0.27257155082664597,0.05987741631305988,0.4332861857614333,0.5068363979255068,13.33993399339934,4.064163698809662,2.073549575933438,0.24490199278768482,0.051050320678590305,2121
3,2023,1.5,4.0,0.2,45,0.006060498503919657,0.06109324758842444,2.103121698168616,0.014428914668674409,0.27257155082664597,0.05987741631305988,0.4332861857614333,0.5068363979255068,13.33993399339934,4.064163698809662,2.073549575933438,0.24490199278768482,0.051050320678590305,2121
3,2023,1.5,4.0,0.2,60,0.006060498503919657,0.06109324758842444,2.103121698168616,0.014428914668674409,0.27257155082664597,0.05987741631305988,0.4332861857614333,0.5068363979255068,13.33993399339934,4.064163698809662,2.073549575933438,0.24490199278768482,0.051050320678590305,2121
4,2024,1.5,2.0,0.2,30,0.012499118645736523,0.0777218376337319,1.899037631886494,0.006777713636733273,0.13728231581471428,0.0643160300359125,0.5001632386549135,0.435520731309174,12.44139732288606,4.018437660542122,2.0667123528836795,0.2399616148468536,0.04870413139620903,3063
4,2024,1.5,2.0,0.2,45,0.012499118645736523,0.0777218376337319,1.899037631886494,0.006777713636733273,0.13728231581471428,0.0643160300359125,0.5001632386549135,0.435520731309174,12.44139732288606,4.018437660542122,2.0667123528836795,0.2399616148468536,0.04870413139620903,3063
4,2024,1.5,2.0,0.2,60,0.012499118645736523,0.0777218376337319,1.899037631886494,0.006777713636733273,0.13728231581471428,0.0643160300359125,0.5001632386549135,0.435520731309174,12.44139732288606,4.018437660542122,2.0667123528836795,0.2399616148468536,0.04870413139620903,3063
3,2023,2.0,4.0,0.2,30,0.007497649061546853,0.06430868167202572,2.0926076732436414,0.01583370830519874,0.26979694017668593,0.0627062706270627,0.3521923620933522,0.5851013672795851,14.78925035360679,3.3400309718835746,2.0664330694357216,0.24965535529164454,0.045297911548891234,2121
3,2023,2.0,4.0,0.2,45,0.007497649061546853,0.06430868167202572,2.0926076732436414,0.01583370830519874,0.26979694017668593,0.0627062706270627,0.3521923620933522,0.5851013672795851,14.78925035360679,3.3400309718835746,2.0664330694357216,0.24965535529164454,0.045297911548891234,2121
3,2023,2.0,4.0,0.2,60,0.007497649061546853,0.06430868167202572,2.0926076732436414,0.01583370830519874,0.26979694017668593,0.0627062706270627,0.3521923620933522,0.5851013672795851,14.78925035360679,3.3400309718835746,2.0664330694357216,0.24965535529164454,0.045297911548891234,2121
4,2024,2.0,2.0,0.2,30,0.013782136860537544,0.08055380742605413,1.9059318696051528,0.009602317115220985,0.1672676790329334,0.06823375775383611,0.38459027097616716,0.5471759712699967,14.466536075742736,3.196208966637717,2.0484267432169196,0.23965950765545832,0.040365369939046686,3063
4,2024,2.0,2.0,0.2,45,0.013782136860537544,0.08055380742605413,1.9059318696051528,0.009602317115220985,0.1672676790329334,0.06823375775383611,0.38459027097616716,0.5471759712699967,14.466536075742736,3.196208966637717,2.0484267432169196,0.23965950765545832,0.040365369939046686,3063
4,2024,2.0,2.0,0.2,60,0.013782136860537544,0.08055380742605413,1.9059318696051528,0.009602317115220985,0.1672676790329334,0.06823375775383611,0.38459027097616716,0.5471759712699967,14.466536075742736,3.196208966637717,2.0484267432169196,0.23965950765545832,0.040365369939046686,3063
5,2025,1.0,3.0,0.2,30,-0.0010993060944846506,0.04991596638655462,2.131253488531897,0.00831962446279438,0.18984618513907625,0.058703420112302195,0.5492598264420623,0.39203675344563554,11.043389484430833,4.669864632081086,2.0426092839675825,0.25968242505649536,0.060246106748947925,1959
5,2025,1.0,3.0,0.2,45,-0.0010990540551173295,0.04991596638655462,2.1312435765346724,0.008320917505491944,0.18979673349818404,0.058703420112302195,0.5492598264420623,0.39203675344563554,11.047983665135273,4.669864632081086,2.042575664246492,0.25968242505649536,0.060249405018016323,1959
5,2025,1.0,3.0,0.2,60,-0.0010990540551173295,0.04991596638655462,2.1312435765346724,0.008320917505491944,0.18979673349818404,0.058703420112302195,0.5492598264420623,0.39203675344563554,11.047983665135273,4.669864632081086,2.042575664246492,0.25968242505649536,0.060249405018016323,1959
5,2025,2.0,3.0,0.2,30,-0.0004305276153936319,0.05714285714285714,2.033805785607724,0.012500829772728882,0.218559981309092,0.06840224604389995,0.3333333333333333,0.5982644206227667,14.413476263399694,2.868456972264773,2.0124959308943264,0.2654217521696174,0.04210365292911765,1959
5,2025,2.0,3.0,0.2,45,-0.00043027557602631425,0.05714285714285714,2.033800687393819,0.012502122815426446,0.2185129391412973,0.06840224604389995,0.3333333333333333,0.5982644206227667,14.418070444104135,2.868456972264773,2.012477460284947,0.2654217521696174,0.04210581425219318,1959
5,2025,2.0,3.0,0.2,60,-0.00043027557602631425,0.05714285714285714,2.033800687393819,0.012502122815426446,0.2185129391412973,0.06840224604389995,0.3333333333333333,0.5982644206227667,14.418070444104135,2.868456972264773,2.012477460284947,0.2654217521696174,0.04210581425219318,1959
1,2021,1.0,4.0,0.2,30,0.006492247309515545,0.04750479846449136,2.3848961779082494,0.02080269221622097,0.44125876601378256,0.08028169014084507,0.5557746478873239,0.363943661971831,11.880281690140846,6.052894494676134,2.0020659357803914,0.28466960964847354,0.0661838657336192,3550
1,2021,1.0,4.0,0.2,45,0.006492247309515545,0.04750479846449136,2.3848961779082494,0.02080269221622097,0.44125876601378256,0.08028169014084507,0.5557746478873239,0.363943661971831,11.880281690140846,6.052894494676134,2.0020659357803914,0.28466960964847354,0.0661838657336192,3550
1,2021,1.0,4.0,0.2,60,0.006492247309515545,0.04750479846449136,2.3848961779082494,0.02080269221622097,0.44125876601378256,0.08028169014084507,0.5557746478873239,0.363943661971831,11.880281690140846,6.052894494676134,2.0020659357803914,0.28466960964847354,0.0661838657336192,3550
3,2023,1.0,3.0,0.2,30,0.004454378278783085,0.06007784735149772,2.110629108507922,0.012186085288171602,0.27621242092555087,0.05987741631305988,0.553983969825554,0.38613861386138615,11.117868929750118,5.14557901452798,2.001169520396815,0.23282612013342177,0.06037110177743879,2121
3,2023,1.0,3.0,0.2,45,0.004454378278783085,0.06007784735149772,2.110629108507922,0.012186085288171602,0.27621242092555087,0.05987741631305988,0.553983969825554,0.38613861386138615,11.117868929750118,5.14557901452798,2.001169520396815,0.23282612013342177,0.06037110177743879,2121
3,2023,1.0,3.0,0.2,60,0.004454378278783085,0.06007784735149772,2.110629108507922,0.012186085288171602,0.27621242092555087,0.05987741631305988,0.553983969825554,0.38613861386138615,11.117868929750118,5.14557901452798,2.001169520396815,0.23282612013342177,0.06037110177743879,2121
5,2025,1.5,3.0,0.2,30,-0.0009079571081472317,0.05394957983193277,2.0630988796089333,0.010200117187745508,0.1982234953288962,0.0638080653394589,0.4349157733537519,0.5012761613067892,12.967330270546197,3.541511481338022,2.000805200760207,0.26509429337417134,0.05154823630600311,1959
5,2025,1.5,3.0,0.2,45,-0.000907705068779914,0.05394957983193277,2.063092211864051,0.010201410230443072,0.19817841120897098,0.0638080653394589,0.4349157733537519,0.5012761613067892,12.971924451250638,3.541511481338022,2.00078159146261,0.26509429337417134,0.05155081580767778,1959
5,2025,1.5,3.0,0.2,60,-0.000907705068779914,0.05394957983193277,2.063092211864051,0.010201410230443072,0.19817841120897098,0.0638080653394589,0.4349157733537519,0.5012761613067892,12.971924451250638,3.541511481338022,2.00078159146261,0.26509429337417134,0.05155081580767778,1959
1,2021,2.0,4.0,0.2,30,0.010356808582152141,0.056861804222648756,2.254445940665128,0.024839137896576827,0.40695736062629584,0.08816901408450704,0.3428169014084507,0.5690140845070423,15.38112676056338,3.5732381942230376,1.9900861676846042,0.28251413260888075,0.04751127590833668,3550
1,2021,2.0,4.0,0.2,45,0.010356808582152141,0.056861804222648756,2.254445940665128,0.024839137896576827,0.40695736062629584,0.08816901408450704,0.3428169014084507,0.5690140845070423,15.38112676056338,3.5732381942230376,1.9900861676846042,0.28251413260888075,0.04751127590833668,3550
